airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-01,Delhi,Cochin,19:45:00,04:25:00,520,1,No info,14714
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,23:25:00,975,1,No info,9345
Jet Airways,2019-05-09,Banglore,Delhi,19:50:00,22:50:00,180,0,No info,7229
Air India,2019-04-09,Delhi,Cochin,20:15:00,19:15:00,1380,2,No info,9916
Goair,2019-06-09,Delhi,Cochin,10:35:00,19:35:00,540,1,No info,5281
Indigo,2019-06-03,Delhi,Cochin,11:25:00,01:30:00,845,1,No info,5883
Indigo,2019-03-01,Banglore,Delhi,10:05:00,13:00:00,175,0,No info,10067
Multiple Carriers,2019-04-09,Delhi,Cochin,10:35:00,19:15:00,520,1,No info,6106
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,18:50:00,1550,1,No info,9345
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,22:05:00,1745,1,In-flight meal not included,10539
Indigo,2019-05-24,Banglore,Delhi,01:30:00,04:15:00,165,0,No info,3419
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,19:00:00,600,1,No info,14714
Jet Airways,2019-03-01,Banglore,Delhi,11:40:00,00:45:00,785,1,No info,26890
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,No info,4409
Air India,2019-06-12,Banglore,Delhi,21:05:00,23:55:00,170,0,No info,5228
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,22:30:00,925,1,No info,9646
Indigo,2019-06-12,Delhi,Cochin,08:30:00,21:00:00,750,1,No info,6093
Jet Airways,2019-03-06,Banglore,Delhi,07:00:00,12:25:00,325,1,No info,22270
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1,No info,6916
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,19:00:00,1395,1,In-flight meal not included,10577
Air India,2019-06-01,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No info,3100
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No info,3100
Jet Airways,2019-04-01,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,4544
Air India,2019-06-09,Kolkata,Banglore,09:25:00,05:35:00,1210,2,No info,11432
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1,No info,14714
Multiple Carriers,2019-03-03,Delhi,Cochin,07:10:00,21:20:00,850,2,In-flight meal not included,8938
Air India,2019-03-27,Delhi,Cochin,20:40:00,09:25:00,765,1,No info,5117
Air India,2019-05-21,Kolkata,Banglore,14:30:00,23:15:00,525,2,No info,15107
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,01:30:00,930,1,No info,13377
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,790,1,No info,9345
Multiple Carriers,2019-03-27,Delhi,Cochin,10:45:00,19:15:00,510,1,No info,7154
Indigo,2019-04-06,Delhi,Cochin,20:25:00,01:30:00,305,1,No info,5073
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,08:15:00,945,1,In-flight meal not included,8586
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:15:00,705,1,No info,8614
Spicejet,2019-05-24,Kolkata,Banglore,15:05:00,20:20:00,315,1,No info,4649
Indigo,2019-04-06,Banglore,Delhi,18:55:00,21:50:00,175,0,No info,4823
Spicejet,2019-03-21,Banglore,Delhi,09:35:00,12:30:00,175,0,No info,4945
Air India,2019-05-18,Delhi,Cochin,06:05:00,09:25:00,1640,1,No info,7480
Indigo,2019-05-09,Delhi,Cochin,15:00:00,01:30:00,630,1,No info,8330
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,19:00:00,540,1,No info,12717
Spicejet,2019-06-15,Banglore,Delhi,05:55:00,08:35:00,160,0,No info,4423
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,465,1,No info,15077
Indigo,2019-04-21,Delhi,Cochin,02:00:00,07:45:00,345,1,No info,6258
Indigo,2019-06-09,Kolkata,Banglore,22:15:00,00:50:00,155,0,No info,5224
Indigo,2019-05-18,Delhi,Cochin,14:20:00,22:30:00,490,1,No info,7640
Air India,2019-03-24,Kolkata,Banglore,13:55:00,23:15:00,2000,2,No info,15292
